#,Player,Country,Team,Goals (Penalty)
1,Kun Agüero,Argentina,Manchester City Manchester City,26 (5)
2,Harry Kane,England,Tottenham Hotspur Tottenham Hotspur,21 (2)
3,Diego Costa,Spain,Chelsea FC Chelsea FC,20 (1)
4,Charlie Austin,England,Queens Park Rangers Queens Park Rangers,18 (3)
5,Alexis Sánchez,Chile,Arsenal FC Arsenal FC,16 (0)
6,Saido Berahino,Burundi,West Bromwich Albion West Bromwich Albion,14 (4)
,Olivier Giroud,France,Arsenal FC Arsenal FC,14 (0)
,Eden Hazard,Belgium,Chelsea FC Chelsea FC,14 (3)
9,Christian Benteke,Belgium,Aston Villa Aston Villa,13 (1)
10,David Silva,Spain,Manchester City Manchester City,12 (0)
,Mame Diouf,Senegal,Stoke City Stoke City,12 (0)
,Graziano Pellè,Italy,Southampton FC Southampton FC,12 (0)
,Wayne Rooney,England,Manchester United Manchester United,12 (1)
14,Wilfried Bony,Ivory Coast,Manchester City Manchester City,11 (1)
,,,Swansea City Swansea City,
,Nacer Chadli,Belgium,Tottenham Hotspur Tottenham Hotspur,11 (0)
,Papiss Demba Cissé,Senegal,Newcastle United Newcastle United,11 (1)
,Danny Ings,England,Burnley FC Burnley FC,11 (1)
,Leonardo Ulloa,Argentina,Leicester City Leicester City,11 (2)
19,Christian Eriksen,Denmark,Tottenham Hotspur Tottenham Hotspur,10 (0)
,Romelu Lukaku,Belgium,Everton FC Everton FC,10 (2)
,Sadio Mané,Senegal,Southampton FC Southampton FC,10 (0)
,Diafra Sakho,Senegal,West Ham United West Ham United,10 (0)
,Yaya Touré,Ivory Coast,Manchester City Manchester City,10 (2)
,Robin van Persie,Netherlands,Manchester United Manchester United,10 (1)
25,Steven Gerrard,England,Liverpool FC Liverpool FC,9 (4)
,Mata,Spain,Manchester United Manchester United,9 (1)
27,Peter Crouch,England,Stoke City Stoke City,8 (0)
,Nikica Jelavić,Croatia,Hull City Hull City,8 (0)
,Sung-yueng Ki,South Korea,Swansea City Swansea City,8 (0)
,Jon Walters,Ireland,Stoke City Stoke City,8 (0)
31,Charlie Adam,Scotland,Stoke City Stoke City,7 (1)
,Ayoze Pérez,Spain,Newcastle United Newcastle United,7 (0)
,Bafétimbi Gomis,France,Swansea City Swansea City,7 (0)
,Kevin Mirallas,Belgium,Everton FC Everton FC,7 (0)
,Glenn Murray,England,Crystal Palace Crystal Palace,7 (1)
,Steven Naismith,Scotland,Everton FC Everton FC,7 (0)
,Loïc Rémy,France,Chelsea FC Chelsea FC,7 (0)
,,,Queens Park Rangers Queens Park Rangers,
,Santi Cazorla,Spain,Arsenal FC Arsenal FC,7 (6)
,Gylfi Sigurðsson,Iceland,Swansea City Swansea City,7 (0)
,Raheem Sterling,England,Liverpool FC Liverpool FC,7 (0)
41,Gabriel Agbonlahor,England,Aston Villa Aston Villa,6 (0)
,Ander Herrera,Spain,Manchester United Manchester United,6 (0)
,Stewart Downing,England,West Ham United West Ham United,6 (0)
,Marouane Fellaini,Belgium,Manchester United Manchester United,6 (0)
,Leroy Fer,Netherlands,Queens Park Rangers Queens Park Rangers,6 (0)
,Jordan Henderson,England,Liverpool FC Liverpool FC,6 (1)
,Frank Lampard,England,Manchester City Manchester City,6 (0)
,Oscar,Brazil,Chelsea FC Chelsea FC,6 (0)
,Jason Puncheon,England,Crystal Palace Crystal Palace,6 (0)
,Aaron Ramsey,Wales,Arsenal FC Arsenal FC,6 (0)
51,Ashley Barnes,England,Burnley FC Burnley FC,5 (0)
,George Boyd,Scotland,Burnley FC Burnley FC,5 (0)
,,,Hull City Hull City,
,Esteban Cambiasso,Argentina,Leicester City Leicester City,5 (0)
,Andy Carroll,England,West Ham United West Ham United,5 (0)
,Coutinho,Brazil,Liverpool FC Liverpool FC,5 (0)
,Steven Fletcher,Scotland,Sunderland AFC Sunderland AFC,5 (0)
,Dwight Gayle,England,Crystal Palace Crystal Palace,5 (1)
,Mile Jedinak,Australia,Crystal Palace Crystal Palace,5 (3)
,Stevan Jovetić,Montenegro,Manchester City Manchester City,5 (0)
,Adam Lallana,England,Liverpool FC Liverpool FC,5 (0)
,Shane Long,Ireland,Southampton FC Southampton FC,5 (0)
,James Milner,England,Manchester City Manchester City,5 (0)
,Dame N'Doye,Senegal,Hull City Hull City,5 (0)
,David Nugent,England,Leicester City Leicester City,5 (1)
,John Terry,England,Chelsea FC Chelsea FC,5 (0)
,Jamie Vardy,England,Leicester City Leicester City,5 (0)
,Theo Walcott,England,Arsenal FC Arsenal FC,5 (0)
,Connor Wickham,England,Sunderland AFC Sunderland AFC,5 (0)
69,Bojan,Spain,Stoke City Stoke City,4 (1)
,Yannick Bolasie,Congo DR,Crystal Palace Crystal Palace,4 (0)
,Fraizer Campbell,England,Crystal Palace Crystal Palace,4 (0)
,Jack Colback,England,Newcastle United Newcastle United,4 (0)
,Jermain Defoe,England,Sunderland AFC Sunderland AFC,4 (0)
,Momo Diamé,Senegal,Hull City Hull City,4 (0)
,,,West Ham United West Ham United,
,Didier Drogba,Ivory Coast,Chelsea FC Chelsea FC,4 (0)
,Edin Džeko,Bosnia-Herzegovina,Manchester City Manchester City,4 (0)
,Radamel Falcao,Colombia,Manchester United Manchester United,4 (0)
,Abel Hernández,Uruguay,Hull City Hull City,4 (1)
,Brown Ideye,Nigeria,West Bromwich Albion West Bromwich Albion,4 (0)
,Branislav Ivanović,Serbia,Chelsea FC Chelsea FC,4 (0)
,Phil Jagielka,England,Everton FC Everton FC,4 (0)
,Adam Johnson,England,Sunderland AFC Sunderland AFC,4 (1)
,Jordi Gómez,Spain,Sunderland AFC Sunderland AFC,4 (3)
,Cheikhou Kouyaté,Senegal,West Ham United West Ham United,4 (0)
,Riyad Mahrez,Algeria,Leicester City Leicester City,4 (0)
,Mesut Özil,Germany,Arsenal FC Arsenal FC,4 (0)
,Morgan Schneiderlin,France,Southampton FC Southampton FC,4 (0)
,Moussa Sissoko,France,Newcastle United Newcastle United,4 (0)
,Chris Smalling,England,Manchester United Manchester United,4 (0)
,Daniel Sturridge,England,Liverpool FC Liverpool FC,4 (0)
,Dušan Tadić,Serbia,Southampton FC Southampton FC,4 (1)
,Enner Valencia,Ecuador,West Ham United West Ham United,4 (0)
,Danny Welbeck,England,Arsenal FC Arsenal FC,4 (0)
,,,Manchester United Manchester United,
,Wilfried Zaha,Ivory Coast,Crystal Palace Crystal Palace,4 (0)
95,Morgan Amalfitano,France,West Ham United West Ham United,3 (0)
,Victor Anichebe,Nigeria,West Bromwich Albion West Bromwich Albion,3 (0)
,Cesc Fàbregas,Spain,Chelsea FC Chelsea FC,3 (0)
,Tom Cleverley,England,Aston Villa Aston Villa,3 (0)
,,,Manchester United Manchester United,
,Séamus Coleman,Ireland,Everton FC Everton FC,3 (0)
,Jack Cork,England,Southampton FC Southampton FC,3 (0)
,,,Swansea City Swansea City,
,Ángel Di María,Argentina,Manchester United Manchester United,3 (0)
,Nathan Dyer,England,Swansea City Swansea City,3 (0)
,Samuel Eto'o,Cameroon,Everton FC Everton FC,3 (0)
,Fernandinho,Brazil,Manchester City Manchester City,3 (0)
,Craig Gardner,England,West Bromwich Albion West Bromwich Albion,3 (0)
,Laurent Koscielny,France,Arsenal FC Arsenal FC,3 (0)
,Sebastian Larsson,Sweden,Sunderland AFC Sunderland AFC,3 (0)
,Victor Moses,Nigeria,Stoke City Stoke City,3 (1)
,Steven N'Zonzi,France,Stoke City Stoke City,3 (0)
,Matt Phillips,Scotland,Queens Park Rangers Queens Park Rangers,3 (0)
,Jack Rodwell,England,Sunderland AFC Sunderland AFC,3 (0)
,Danny Rose,England,Tottenham Hotspur Tottenham Hotspur,3 (0)
,Wayne Routledge,England,Swansea City Swansea City,3 (0)
,Jeffrey Schlupp,Ghana,Leicester City Leicester City,3 (0)
,André Schürrle,Germany,Chelsea FC Chelsea FC,3 (0)
,Jonjo Shelvey,England,Swansea City Swansea City,3 (1)
,Eduardo Vargas,Chile,Queens Park Rangers Queens Park Rangers,3 (0)
,Victor Wanyama,Kenya,Southampton FC Southampton FC,3 (0)
,Andreas Weimann,Austria,Aston Villa Aston Villa,3 (0)
,Bobby Zamora,England,Queens Park Rangers Queens Park Rangers,3 (0)
121,Emmanuel Adebayor,Togo,Tottenham Hotspur Tottenham Hotspur,2 (0)
,Alberto Moreno,Spain,Liverpool FC Liverpool FC,2 (0)
,Marc Albrighton,England,Leicester City Leicester City,2 (0)
,Sammy Ameobi,England,Newcastle United Newcastle United,2 (0)
,Scott Arfield,Canada,Burnley FC Burnley FC,2 (0)
,Leighton Baines,England,Everton FC Everton FC,2 (2)
,Ross Barkley,England,Everton FC Everton FC,2 (0)
,Ryan Bertrand,England,Southampton FC Southampton FC,2 (0)
,Daley Blind,Netherlands,Manchester United Manchester United,2 (0)
,Chris Brunt,Northern Ireland,West Bromwich Albion West Bromwich Albion,2 (0)
,Marouane Chamakh,Morocco,Crystal Palace Crystal Palace,2 (0)
,James Chester,Wales,Hull City Hull City,2 (0)
,Nathaniel Clyne,England,Southampton FC Southampton FC,2 (0)
,Carlton Cole,England,West Ham United West Ham United,2 (0)
,Aaron Cresswell,England,West Ham United West Ham United,2 (0)
,Scott Dann,England,Crystal Palace Crystal Palace,2 (0)
,Craig Dawson,England,West Bromwich Albion West Bromwich Albion,2 (0)
,Eric Dier,England,Tottenham Hotspur Tottenham Hotspur,2 (0)
,Eljero Elia,Netherlands,Southampton FC Southampton FC,2 (0)
,Ahmed Elmohamady,Egypt,Hull City Hull City,2 (0)
,Fernando,Brazil,Manchester City Manchester City,2 (0)
,Yoan Gouffran,France,Newcastle United Newcastle United,2 (0)
,Brede Hangeland,Norway,Crystal Palace Crystal Palace,2 (0)
,Héctor Bellerín,Spain,Arsenal FC Arsenal FC,2 (0)
,Andy King,Wales,Leicester City Leicester City,2 (0)
,Aleksandar Kolarov,Serbia,Manchester City Manchester City,2 (0)
,Andrej Kramarić,Croatia,Leicester City Leicester City,2 (0)
,Niko Kranjčar,Croatia,Queens Park Rangers Queens Park Rangers,2 (0)
,Rickie Lambert,England,Liverpool FC Liverpool FC,2 (0)
,Érik Lamela,Argentina,Tottenham Hotspur Tottenham Hotspur,2 (0)
,Joe Ledley,Wales,Crystal Palace Crystal Palace,2 (0)
,Aaron Lennon,England,Everton FC Everton FC,2 (0)
,,,Tottenham Hotspur Tottenham Hotspur,
,Lazar Marković,Serbia,Liverpool FC Liverpool FC,2 (0)
,James McArthur,Scotland,Crystal Palace Crystal Palace,2 (0)
,James McCarthy,Ireland,Everton FC Everton FC,2 (0)
,Ben Mee,England,Burnley FC Burnley FC,2 (0)
,Wes Morgan,Jamaica,Leicester City Leicester City,2 (0)
,James Morrison,Scotland,West Bromwich Albion West Bromwich Albion,2 (0)
,Samir Nasri,France,Manchester City Manchester City,2 (0)
,Mark Noble,England,West Ham United West Ham United,2 (1)
,Leon Osman,England,Everton FC Everton FC,2 (0)
,Ramires,Brazil,Chelsea FC Chelsea FC,2 (0)
,Tomáš Rosický,Czech Republic,Arsenal FC Arsenal FC,2 (0)
,Ryan Shawcross,England,Stoke City Stoke City,2 (0)
,Andros Townsend,England,Tottenham Hotspur Tottenham Hotspur,2 (1)
,Willian,Brazil,Chelsea FC Chelsea FC,2 (0)
,Jack Wilshere,England,Arsenal FC Arsenal FC,2 (0)
,Ashley Young,England,Manchester United Manchester United,2 (0)
,Mauro Zárate,Argentina,Queens Park Rangers Queens Park Rangers,2 (0)
,,,West Ham United West Ham United,
170,Rolando Aarons,England,Newcastle United Newcastle United,1 (0)
,Toby Alderweireld,Belgium,Southampton FC Southampton FC,1 (0)
,Joe Allen,Wales,Liverpool FC Liverpool FC,1 (0)
,Sone Aluko,Nigeria,Hull City Hull City,1 (0)
,Marko Arnautović,Austria,Stoke City Stoke City,1 (0)
,Mario Balotelli,Italy,Liverpool FC Liverpool FC,1 (0)
,Joey Barton,England,Queens Park Rangers Queens Park Rangers,1 (0)
,Fabio Borini,Italy,Liverpool FC Liverpool FC,1 (0)
,Rémy Cabella,France,Newcastle United Newcastle United,1 (0)
,Gary Cahill,England,Chelsea FC Chelsea FC,1 (0)
,Emre Can,Germany,Liverpool FC Liverpool FC,1 (0)
,Michael Carrick,England,Manchester United Manchester United,1 (0)
,Lee Cattermole,England,Sunderland AFC Sunderland AFC,1 (0)
,Steven Caulker,England,Queens Park Rangers Queens Park Rangers,1 (0)
,Calum Chambers,England,Arsenal FC Arsenal FC,1 (0)
,Ciaran Clark,Ireland,Aston Villa Aston Villa,1 (0)
,Gaël Clichy,France,Manchester City Manchester City,1 (0)
,Joe Cole,England,Aston Villa Aston Villa,1 (0)
,Fabricio Coloccini,Argentina,Newcastle United Newcastle United,1 (0)
,Michael Dawson,England,Hull City Hull City,1 (0)
,,,Tottenham Hotspur Tottenham Hotspur,
,Siem de Jong,Netherlands,Newcastle United Newcastle United,1 (0)
,Mathieu Debuchy,France,Arsenal FC Arsenal FC,1 (0)
,Mousa Dembélé,Belgium,Tottenham Hotspur Tottenham Hotspur,1 (0)
,Martín Demichelis,Argentina,Manchester City Manchester City,1 (0)
,Graham Dorrans,Scotland,West Bromwich Albion West Bromwich Albion,1 (0)
,Mathieu Flamini,France,Arsenal FC Arsenal FC,1 (0)
,Darren Fletcher,Scotland,Manchester United Manchester United,1 (0)
,,,West Bromwich Albion West Bromwich Albion,
,Danny Graham,England,Sunderland AFC Sunderland AFC,1 (0)
,Jonás Gutiérrez,Argentina,Newcastle United Newcastle United,1 (0)
,Clint Hill,England,Queens Park Rangers Queens Park Rangers,1 (0)
,Robert Huth,Germany,Leicester City Leicester City,1 (0)
,,,Stoke City Stoke City,
,Alan Hutton,Scotland,Aston Villa Aston Villa,1 (0)
,Daryl Janmaat,Netherlands,Newcastle United Newcastle United,1 (0)
,Glen Johnson,England,Liverpool FC Liverpool FC,1 (0)
,Michael Kightly,England,Burnley FC Burnley FC,1 (0)
,Paul Konchesky,England,Leicester City Leicester City,1 (0)
,Arouna Koné,Ivory Coast,Everton FC Everton FC,1 (0)
,Joleon Lescott,England,West Bromwich Albion West Bromwich Albion,1 (0)
,Jake Livermore,England,Hull City Hull City,1 (0)
,Ryan Mason,England,Tottenham Hotspur Tottenham Hotspur,1 (0)
,Nemanja Matić,Serbia,Chelsea FC Chelsea FC,1 (0)
,Gareth McAuley,Northern Ireland,West Bromwich Albion West Bromwich Albion,1 (0)
,Aiden McGeady,Ireland,Everton FC Everton FC,1 (0)
,Paul McShane,Ireland,Hull City Hull City,1 (0)
,David Meyler,Ireland,Hull City Hull City,1 (0)
,Jefferson Montero,Ecuador,Swansea City Swansea City,1 (0)
,Nélson Oliveira,Portugal,Swansea City Swansea City,1 (0)
,Kevin Nolan,England,West Ham United West Ham United,1 (0)
,Gabriel Obertan,France,Newcastle United Newcastle United,1 (0)
,Jores Okore,Denmark,Aston Villa Aston Villa,1 (0)
,Jonas Olsson,Sweden,West Bromwich Albion West Bromwich Albion,1 (0)
,Alex Oxlade-Chamberlain,England,Arsenal FC Arsenal FC,1 (0)
,Stephen Quinn,Ireland,Hull City Hull City,1 (0)
,Gastón Ramírez,Uruguay,Hull City Hull City,1 (0)
,,,Southampton FC Southampton FC,
,Winston Reid,New Zealand,West Ham United West Ham United,1 (0)
,Emmanuel Rivière,Martinique,Newcastle United Newcastle United,1 (0)
,Carlos Sánchez,Colombia,Aston Villa Aston Villa,1 (0)
,Sandro,Brazil,Queens Park Rangers Queens Park Rangers,1 (0)
,Stéphane Sessègnon,Benin,West Bromwich Albion West Bromwich Albion,1 (0)
,Scott Sinclair,England,Aston Villa Aston Villa,1 (0)
,,,Manchester City Manchester City,
,Martin Škrtel,Slovakia,Liverpool FC Liverpool FC,1 (0)
,Soldado,Spain,Tottenham Hotspur Tottenham Hotspur,1 (0)
,John Stones,England,Everton FC Everton FC,1 (0)
,Steven Taylor,England,Newcastle United Newcastle United,1 (0)
,James Tomkins,England,West Ham United West Ham United,1 (0)
,Varela,Portugal,West Bromwich Albion West Bromwich Albion,1 (0)
,Jan Vertonghen,Belgium,Tottenham Hotspur Tottenham Hotspur,1 (0)
,Ross Wallace,Scotland,Burnley FC Burnley FC,1 (0)
,Joel Ward,England,Crystal Palace Crystal Palace,1 (0)
,James Ward-Prowse,England,Southampton FC Southampton FC,1 (1)
,Marcin Wasilewski,Poland,Leicester City Leicester City,1 (0)
,Mike Williamson,England,Newcastle United Newcastle United,1 (0)
,James Wilson,England,Manchester United Manchester United,1 (0)
,Chris Wood,New Zealand,Leicester City Leicester City,1 (0)
,Maya Yoshida,Japan,Southampton FC Southampton FC,1 (0)
,Pablo Zabaleta,Argentina,Manchester City Manchester City,1 (0)
